编号|名字|资源类型 1金币、2魔法水、3时间（Time单位秒）|所需资源范围最小值（大于）|所需资源范围最大值（小于等于）|公式参数1 min < 所需资源 < = max  钻石 = （所需资源-min）/参数1 + 参数3|公式参数2
id_INT|name_STRING|resourceType_INT|resourceRangeMin_INT|resourceRangeMax_INT|FormulaParameter_1_INT|FormulaParameter_2_INT
50100101|金币换算1|1|0|100|101|1
50100102|金币换算2|1|100|1000|225|1
50100103|金币换算3|1|1000|10000|450|5
50100104|金币换算4|1|10000|100000|900|25
50100105|金币换算5|1|100000|1000000|1894|125
50100106|金币换算6|1|1000000|100000000|3750|600
50100201|魔法换算1|2|0|100|101|1
50100202|魔法换算2|2|100|1000|225|1
50100203|魔法换算3|2|1000|10000|450|5
50100204|魔法换算4|2|10000|100000|900|25
50100205|魔法换算5|2|100000|1000000|1894|125
50100206|魔法换算6|2|1000000|100000000|3750|600
50100301|时间换算1|3|1|60|61|1
50100302|时间换算2|3|60|3600|19|1
50100303|时间换算3|3|3600|86400|186|1
50100304|时间换算4|3|86400|604800|345|20
0|0|0|0|0|700|260
