城堡建筑物id|建筑物名字|建筑物等级|需要金币|需要泉水|需要时间|数值属性|获得玩家经验表|美术资源
id_INT|name_STRING|level_INT|goldCost_INT|magicCost_INT|timeCost_INT|numericalAttributes_INT|getPlayeExp_INT|buildingART_STRING
10060101|主城1级|1|1000|500|120|0|100|Mint_Level03
10060102|主城2级|2|3000|1500|3600|0|200|Mint_Level03
10060103|主城3级|3|5000|2500|7200|0|300|Mint_Level03
10060104|主城4级|4|7000|3500|10800|0|400|Mint_Level03
10060105|主城5级|5|9000|4500|14400|0|500|Mint_Level03
10060106|主城6级|6|11000|5500|18000|0|600|Mint_Level03
10060107|主城7级|7|13000|6500|21600|0|700|Mint_Level03
10060108|主城8级|8|15000|7500|25200|0|800|Mint_Level03
10060109|主城9级|9|17000|8500|28800|0|900|Mint_Level03
10060110|主城10级|10|19000|9500|32400|0|1000|Mint_Level03
10060201|兵营1级|1|1000|500|120|0|20|Barracks_Level03
10060202|兵营2级|2|2000|1000|3600|0|40|Barracks_Level03
10060203|兵营3级|3|3000|1500|7200|0|60|Barracks_Level03
10060204|兵营4级|4|4000|2000|7200|0|80|Barracks_Level03
10060205|兵营5级|5|5000|2500|7200|0|100|Barracks_Level03
10060206|兵营6级|6|6000|3000|7200|0|120|Barracks_Level03
10060207|兵营7级|7|7000|3500|7200|0|140|Barracks_Level03
10060208|兵营8级|8|8000|4000|7200|0|160|Barracks_Level03
10060209|兵营9级|9|9000|4500|7200|0|180|Barracks_Level03
10060210|兵营10级|10|10000|5000|7200|0|200|Barracks_Level03
10060301|营地1级|1|1000|500|120|40|20|Tavern_Level03
10060302|营地2级|2|2000|1000|3600|50|40|Tavern_Level03
10060303|营地3级|3|3000|1500|7200|60|60|Tavern_Level03
10060304|营地4级|4|4000|2000|7200|70|80|Tavern_Level03
10060305|营地5级|5|5000|2500|7200|80|100|Tavern_Level03
10060306|营地6级|6|6000|3000|7200|90|120|Tavern_Level03
10060307|营地7级|7|7000|3500|7200|100|140|Tavern_Level03
10060308|营地8级|8|8000|4000|7200|110|160|Tavern_Level03
10060309|营地9级|9|9000|4500|7200|120|180|Tavern_Level03
10060310|营地10级|10|10000|5000|7200|130|200|Tavern_Level03
10060401|金矿1级|1|2000|1000|1200|100|20|Cellar_Level03
10060402|金矿2级|2|4000|2000|2400|200|40|Cellar_Level03
10060403|金矿3级|3|6000|3000|3600|300|60|Cellar_Level03
10060404|金矿4级|4|8000|4000|4800|400|80|Cellar_Level03
10060405|金矿5级|5|10000|5000|6000|500|100|Cellar_Level03
10060406|金矿6级|6|12000|6000|7200|600|120|Cellar_Level03
10060407|金矿7级|7|14000|7000|8400|700|140|Cellar_Level03
10060408|金矿8级|8|16000|8000|9600|800|160|Cellar_Level03
10060409|金矿9级|9|18000|9000|10800|900|180|Cellar_Level03
10060410|金矿10级|10|20000|10000|12000|1000|200|Cellar_Level03
10060411|金矿11级|11|22000|11000|13200|1100|220|Cellar_Level03
10060412|金矿12级|12|24000|12000|14400|1200|240|Cellar_Level03
10060413|金矿13级|13|26000|13000|15600|1300|260|Cellar_Level03
10060414|金矿14级|14|28000|14000|16800|1400|280|Cellar_Level03
